2026-04-02 16:55:03 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:03 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:07 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:07 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:09 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:09 [ERROR] __main__ - Attempt 1 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:11 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:11 [ERROR] __main__ - Attempt 2 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:13 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:13 [ERROR] __main__ - Attempt 3 failed: HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
2026-04-02 16:55:15 [ERROR] __main__ - HTTP request failed: HTTPConnectionPool(host='127.0.0.1', port=8000): Max retries exceeded with url: /api/ask/graph-steps (Caused by NewConnectionError("HTTPConnection(host='127.0.0.1', port=8000): Failed to establish a new connection: [Errno 111] Connection refused"))
